kind,code,banner_label,courses_affected,used_as_include,used_as_exclude,example_courses,already_mapped_to,OUR_MAJOR_CODE
"Colleges","15","Computing and Informatics","26","26","0","0202207 0301327 0301429","",""
"Colleges","01","Shari'a & Islamic Studies","20","19","1","0103103 0103206 0103221","",""
"Colleges","03","Business Administration","15","13","2","0301327 0301429 0302150","",""
"Majors","CMEN","Computer Engineering","29","29","0","0402202 0402203 0402240","CPE",""
"Majors","MATH","Mathematics","26","26","0","1440132 1440211 1440231","",""
"Majors","ACCT","Accounting","13","13","0","0301120 0301211 0301425","",""
"Majors","BADM","Business Administration","13","13","0","0301120 0301211 0301425","",""
"Majors","BUIS","Business Information Systems","13","13","0","0301120 0301211 0301425","",""
"Majors","MISM","Management Information Systems","13","13","0","0301120 0301211 0301425","",""
"Majors","SK02","Business Administration","11","11","0","0301120 0301211 0302160","",""
"Majors","GBUS","Common Business Program","10","10","0","0301120 0301211 0301425","",""
"Majors","JURI","Jurisprudence & its Foundation","10","10","0","0103211 0103225 0103312","",""
"Majors","MROB","Mechatro.& Robotic Engineering","6","6","0","0402207 0402434 0402436","",""
"Majors","COMS","Computer Science","5","4","1","0202207 1430117 1440132","",""
"Majors","SHLW","Sharia & Law","5","5","0","0103211 0103312 0103413","",""
"Majors","BIOM","Biomedical Informatics","4","4","0","1440211 1440281 1450102","",""
"Majors","CYBS","Cybersecurity Engineering","4","4","0","0402340 1430117 1440161","",""
"Majors","ITME","Information Tech. - Multimedia","2","1","1","0202207 0302170","",""
"Majors","CP04","Jurisprud. of Islam. Fin. Tran","1","1","0","0103225","",""
"Majors","HIST","History & Islamic Civilization","1","1","0","0202111","",""
"Programs","BSC-ITMN","Information Tech. -Multimedia","63","47","16","0202227 0301327 0301429","ITM",""
"Programs","BSC-COMPN","Computer Science","60","44","16","0202227 0301327 0301429","CS",""
"Programs","BSC-COMPG","Computer Engineering","50","35","15","0301327 0301429 0302350","CPE",""
"Programs","BSC-BIOMI","Biomedical Informatics","44","44","0","0900307 0900324 0900409","BI",""
"Programs","BSC-COMPSCI","Computer Science","44","42","2","0202227 0900101 1440131","CS",""
"Programs","BSC-COM-ENG","Computer Engineering","35","33","2","0402250 0402415 0900101","CPE",""
"Programs","BSC-MROB","Mech.& Robotic Engineering","35","34","1","0402210 0402211 0402349","",""
"Programs","BSC-ITM","Information Tech. -Multimedia","31","29","2","0202227 0900101 1440131","ITM",""
"Programs","BSC-BIS","Business Info Systems","26","12","14","0302150 0308150 0401301","",""
"Programs","BSC-CYBSE","Cybersecurity Engineering","26","24","2","0900101 1420101 1501116","",""
"Programs","B-SHR-JURS","Shari'a - Juris. & its Found.","23","20","3","0103105 0103222 0103223","",""
"Programs","B-SHR-RELG","Shari'a - Found. of Religion","21","18","3","0103105 0103222 0103223","",""
"Programs","BSC-BIS-ACC","Business Info Systems","20","20","0","0301310 0301321 0301322","",""
